benchmark,solver,wallclock time,result
cloud_new/non-incremental/QF_BV/smt-comp-067.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/QF_BV/smt-comp-067.smt2,par,861.71,UNSATISFIABLE
cloud_new/non-incremental/QF_BV/smt-comp-067.smt2,stp,TIMEOUT,
cloud_new/non-incremental/NIA/smt-comp-232.smt2,cvc5gg,CRASHED,
cloud_new/non-incremental/NIA/smt-comp-232.smt2,vampirecloud,TIMEOUT,
cloud_new/non-incremental/QF_NIA/smt-comp-284.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/QF_NIA/smt-comp-284.smt2,par,5.58,SATISFIABLE
cloud_new/non-incremental/QF_NIA/smt-comp-103.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/QF_NIA/smt-comp-103.smt2,par,TIMEOUT,
cloud_new/non-incremental/AUFDTLIRA/smt-comp-002.smt2,cvc5gg,2.059,UNSATISFIABLE
cloud_new/non-incremental/AUFDTLIRA/smt-comp-002.smt2,vampirecloud,192.596,UNSATISFIABLE
cloud_new/non-incremental/QF_IDL/smt-comp-078.smt2,cubeandconquer,TIMEOUT,
cloud_new/non-incremental/QF_IDL/smt-comp-078.smt2,portfolio,TIMEOUT,
cloud_new/non-incremental/QF_IDL/smt-comp-078.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/QF_IDL/smt-comp-078.smt2,par,TIMEOUT,
cloud_new/non-incremental/QF_ABV/smt-comp-236.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/QF_ABV/smt-comp-236.smt2,par,TIMEOUT,
cloud_new/non-incremental/UFDT/smt-comp-340.smt2,cvc5gg,CRASHED,
cloud_new/non-incremental/UFDT/smt-comp-340.smt2,vampirecloud,TIMEOUT,
cloud_new/non-incremental/AUFNIA/smt-comp-201.smt2,cvc5gg,CRASHED,
cloud_new/non-incremental/AUFNIA/smt-comp-201.smt2,vampirecloud,241.23,UNSATISFIABLE
cloud_new/non-incremental/UFIDL/smt-comp-384.smt2,cvc5gg,1.949,UNSATISFIABLE
cloud_new/non-incremental/UFIDL/smt-comp-384.smt2,par,TIMEOUT,
cloud_new/non-incremental/UFIDL/smt-comp-384.smt2,vampirecloud,TIMEOUT,
cloud_new/non-incremental/UF/smt-comp-320.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/UF/smt-comp-320.smt2,par,TIMEOUT,
cloud_new/non-incremental/UF/smt-comp-320.smt2,vampirecloud,TIMEOUT,
cloud_new/non-incremental/UFDTNIRA/smt-comp-379.smt2,cvc5gg,1.981,UNSATISFIABLE
cloud_new/non-incremental/UFDTNIRA/smt-comp-379.smt2,vampirecloud,1346.968,UNSATISFIABLE
cloud_new/non-incremental/AUFDTLIRA/smt-comp-007.smt2,cvc5gg,2.021,UNSATISFIABLE
cloud_new/non-incremental/AUFDTLIRA/smt-comp-007.smt2,vampirecloud,160.458,UNSATISFIABLE
cloud_new/non-incremental/AUFNIRA/smt-comp-206.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/AUFNIRA/smt-comp-206.smt2,par,TIMEOUT,
cloud_new/non-incremental/AUFNIRA/smt-comp-206.smt2,vampirecloud,288.977,UNSATISFIABLE
cloud_new/non-incremental/QF_NIA/smt-comp-287.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/QF_NIA/smt-comp-287.smt2,par,TIMEOUT,
cloud_new/non-incremental/QF_ABV/smt-comp-235.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/QF_ABV/smt-comp-235.smt2,par,TIMEOUT,
