benchmark,solver,wallclock time,result
parallel_new/non-incremental/AUFNIRA/smt-comp-232.smt2,cvc5ggparallel,TIMEOUT,
parallel_new/non-incremental/AUFNIRA/smt-comp-232.smt2,parallelpar,TIMEOUT,
parallel_new/non-incremental/AUFNIRA/smt-comp-232.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/BV/smt-comp-039.smt2,cvc5ggparallel,CRASHED,
parallel_new/non-incremental/BV/smt-comp-039.smt2,parallelpar,1796.123,UNSATISFIABLE
parallel_new/non-incremental/BV/smt-comp-040.smt2,cvc5ggparallel,CRASHED,
parallel_new/non-incremental/BV/smt-comp-040.smt2,parallelpar,85.179,SATISFIABLE
parallel_new/non-incremental/BV/smt-comp-041.smt2,cvc5ggparallel,CRASHED,
parallel_new/non-incremental/BV/smt-comp-041.smt2,parallelpar,1033.204,SATISFIABLE
parallel_new/non-incremental/BV/smt-comp-042.smt2,cvc5ggparallel,CRASHED,
parallel_new/non-incremental/BV/smt-comp-042.smt2,parallelpar,92.725,SATISFIABLE
parallel_new/non-incremental/BV/smt-comp-043.smt2,cvc5ggparallel,TIMEOUT,
parallel_new/non-incremental/BV/smt-comp-043.smt2,parallelpar,910.729,UNSATISFIABLE
parallel_new/non-incremental/BV/smt-comp-044.smt2,cvc5ggparallel,TIMEOUT,
parallel_new/non-incremental/BV/smt-comp-044.smt2,parallelpar,1681.593,UNSATISFIABLE
parallel_new/non-incremental/BV/smt-comp-045.smt2,cvc5ggparallel,CRASHED,
parallel_new/non-incremental/BV/smt-comp-045.smt2,parallelpar,TIMEOUT,
parallel_new/non-incremental/BV/smt-comp-046.smt2,cvc5ggparallel,TIMEOUT,
parallel_new/non-incremental/BV/smt-comp-046.smt2,parallelpar,0.173,SATISFIABLE
parallel_new/non-incremental/BV/smt-comp-047.smt2,cvc5ggparallel,TIMEOUT,
parallel_new/non-incremental/BV/smt-comp-047.smt2,parallelpar,9.419,SATISFIABLE
parallel_new/non-incremental/BV/smt-comp-233.smt2,cvc5ggparallel,CRASHED,
